,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
8193,VAMP7,P51809,Endosome,0,1,0,0,human
8194,VAMP8,Q9BV40,Endosome,0,1,0,0,human
7281,VANGL1,Q8TAA9,Plasma membrane,1,0,0,0,human
7282,VANGL2,Q9ULK5,Plasma membrane,1,0,0,0,human
8330,VAPA,Q9P0L0,ER-Membrane,0,1,0,0,human
9301,VAPA,Q9P0L0-2,ER,0,0,0,1,human
7283,VAPB,O95292,ER,1,0,0,0,human
7284,VARS2,Q5ST30,Mitochondria,1,0,0,0,human
7285,VARS2,P26640,Mitochondria,1,0,0,0,human
8723,VASN,Q6EMK4,Plasma membrane,0,1,0,0,human
10489,VASP,P50552,Large Protein Complex,0,0,0,1,human
10800,VAT1,Q99536,Large Protein Complex,0,0,0,1,human
7286,VAX1,Q5SQQ9,Nucleus,1,0,0,0,human
7287,VAX2,Q9UIW0,Nucleus,1,0,0,0,human
10801,VBP1,P61758,Large Protein Complex,0,0,0,1,human
9501,VCL,P18206,Golgi,0,0,0,1,human
9785,VCP,P55072,Plasma membrane,0,0,0,1,human
11059,VCPIP1,Q96JH7,Large Protein Complex,0,0,0,1,human
7288,VCPKMT,Q9H867,Cytoplasm,1,0,0,0,human
8437,VDAC1,P21796,Mitochondrion-OM,0,1,0,0,human
7289,VDAC2,P45880,Mitochondria,1,0,0,0,human
7290,VDAC3,Q9Y277,Mitochondria,1,0,0,0,human
7291,VENTX,O95231,Nucleus,1,0,0,0,human
7292,VEZF1,Q14119,Nucleus,1,0,0,0,human
9353,VEZT,Q9HBM0,ER,0,0,0,1,human
7293,VGLL1,Q99990,Nucleus,1,0,0,0,human
7294,VGLL2,Q8N8G2,Nucleus,1,0,0,0,human
7295,VGLL3,A8MV65,Nucleus,1,0,0,0,human
7296,VGLL4,Q14135,Nucleus,1,0,0,0,human
10490,VIM,P08670,Large Protein Complex,0,0,0,1,human
7297,VIPAS39,Q9H9C1,Endosome,1,0,0,0,human
7298,VIPR1,P32241,Plasma membrane,1,0,0,0,human
7299,VIPR2,P41587,Plasma membrane,1,0,0,0,human
7300,VKORC1,Q9BQB6,ER,1,0,0,0,human
7301,VKORC1L1,Q8N0U8,ER,1,0,0,0,human
8195,VLDLR,P98155,Endosome,0,1,0,0,human
9181,VLDLR,P98155-2,Endosome,0,0,0,1,human
7302,VMA21,Q3ZAQ7,Ergic/cisGolgi,1,0,0,0,human
7303,VMP1,Q96GC9,Ergic/cisGolgi,1,0,0,0,human
7304,VN1R1,Q9GZP7,Plasma membrane,1,0,0,0,human
7305,VN1R17P,Q8TDU5,Plasma membrane,1,0,0,0,human
7306,VN1R2,Q8NFZ6,Plasma membrane,1,0,0,0,human
7307,VN1R3,Q9BXE9,Plasma membrane,1,0,0,0,human
7308,VN1R4,Q7Z5H5,Plasma membrane,1,0,0,0,human
7309,VN1R5,Q7Z5H4,Plasma membrane,1,0,0,0,human
7310,VNN1,O95497,Plasma membrane,1,0,0,0,human
7311,VNN2,O95498,Plasma membrane,1,0,0,0,human
9111,VOPP1,Q96AW1,Endosome,0,0,1,0,human
11353,VPRBP,Q9Y4B6,Large Protein Complex,0,0,0,1,human
7312,VPS11,Q9H270,Endosome,1,0,0,0,human
8428,VPS13A,Q96RL7,Mitochondrion-Mtx,0,1,0,0,human
7313,VPS13C,Q709C8,Mitochondria,1,0,0,0,human
9021,VPS13D,Q5THJ4,Mitochondria,0,1,0,0,human
7314,VPS16,Q9H269,Endosome,1,0,0,0,human
7315,VPS18,Q9P253,Endosome,1,0,0,0,human
10802,VPS25,Q9BRG1,Large Protein Complex,0,0,0,1,human
7316,VPS26A,O75436,Endosome,1,0,0,0,human
7317,VPS26B,Q4G0F5,Endosome,1,0,0,0,human
7318,VPS26C,O14972,Endosome,1,0,0,0,human
